Date,Bitcoin,Gold,NASDAQ,Treasury Yield 10Years
1/1/2017,0.003302456,0,0,0.522356091
1/2/2017,0.003653187,0,0,0.522356091
1/3/2017,0.003983929,0,0,0.522356091
1/4/2017,0.005644231,0.003815509,0.004508684,0.522891566
1/5/2017,0.003527867,0.021658624,0.005538,0.500401606
1/6/2017,0.001863238,0.012905398,0.008654202,0.513788487
1/7/2017,0.001958823,0.012905398,0.008654202,0.513788487
1/8/2017,0.001997961,0.012905398,0.008654202,0.513788487
1/9/2017,0.001872626,0.025923016,0.009666566,0.502543507
1/10/2017,0.001945258,0.026708562,0.011548324,0.50334672
1/11/2017,0,0.039501739,0.012661391,0.500937082
1/12/2017,0.00040541,0.043205027,0.011140962,0.498527443
1/13/2017,0.000692134,0.039165077,0.013646511,0.503614458
1/14/2017,0.000608707,0.039165077,0.013646511,0.503614458
1/15/2017,0.000659404,0.039165077,0.013646511,0.503614458
1/16/2017,0.000805176,0.039165077,0.013646511,0.503614458
1/17/2017,0.001949136,0.057905959,0.010316728,0.489424364
1/18/2017,0.001629922,0.057120413,0.011908688,0.506024096
1/19/2017,0.001816405,0.045449445,0.010443756,0.52476573
1/20/2017,0.001755811,0.049264953,0.011878596,0.526907631
1/21/2017,0.00215652,0.049264953,0.011878596,0.526907631
1/22/2017,0.0021997,0.049264953,0.011878596,0.526907631
1/23/2017,0.002144887,0.061272584,0.011653713,0.509772423
1/24/2017,0.00172079,0.055998204,0.016171816,0.527978581
1/25/2017,0.001853372,0.041409494,0.021382392,0.541900937
1/26/2017,0.002093591,0.032656268,0.021273281,0.537884873
1/27/2017,0.002125991,0.031085176,0.021800137,0.530655957
1/28/2017,0.002153541,0.031085176,0.021800137,0.530655957
1/29/2017,0.002122188,0.031085176,0.021800137,0.530655957
1/30/2017,0.002135454,0.036808439,0.017371436,0.531191432
1/31/2017,0.002884394,0.05409045,0.017473058,0.522623829
2/1/2017,0.003163182,0.050723824,0.020094334,0.528781794
2/2/2017,0.00350421,0.063180339,0.019487495,0.527710843
2/3/2017,0.003775363,0.065200314,0.022363745,0.533333333
