Date,Bitcoin,Gold,NASDAQ,Treasury Yield 10Years,Silver,Crude Oil,BNP500
7/13/2010,2.60668E-08,0.16,0.009179964,0.700133869,0.176438654,0.711460981,0.01
7/14/2010,0,0.16,0.009740089,0.682998661,0.177252986,0.710779148,0.01
7/15/2010,1.72558E-08,0.16,0.009685582,0.663721553,0.179424539,0.708175789,0.01
7/16/2010,1.49327E-07,0.14,0.004663136,0.653279786,0.163680782,0.704394719,0.00
7/17/2010,1.41939E-07,0.14,0.004663136,0.653279786,0.163680782,0.704394719,0.00
7/18/2010,3.31696E-07,0.14,0.004663136,0.653279786,0.163680782,0.704394719,0.00
7/19/2010,2.62946E-07,0.13,0.006038691,0.659973226,0.157166124,0.707679911,0.01
7/20/2010,2.30222E-07,0.14,0.007778582,0.651405622,0.161509229,0.713258538,0.01
7/21/2010,2.66232E-07,0.14,0.005256967,0.640696118,0.164495114,0.70780388,0.01
7/22/2010,3.65959E-08,0.14,0.009456787,0.651405622,0.173181325,0.724787702,0.01
7/23/2010,9.22749E-08,0.14,0.011147914,0.668005355,0.172638436,0.72280419,0.01
7/24/2010,1.97632E-07,0.14,0.011147914,0.668005355,0.172638436,0.72280419,0.01
7/25/2010,1.85731E-07,0.14,0.011147914,0.668005355,0.172638436,0.72280419,0.01
7/26/2010,9.33555E-08,0.13,0.013081441,0.668005355,0.175352877,0.72280419,0.02
7/27/2010,1.71505E-07,0.11,0.012494789,0.682195448,0.159609121,0.713630447,0.02
7/28/2010,1.69645E-07,0.11,0.010795783,0.669879518,0.154180239,0.710469225,0.02
7/29/2010,1.08843E-07,0.12,0.009872758,0.669344043,0.159066232,0.718961136,0.01
7/30/2010,1.0756E-07,0.13,0.010088631,0.644712182,0.169652552,0.722618236,0.01
7/31/2010,1.97681E-07,0.13,0.010088631,0.644712182,0.169652552,0.722618236,0.01
8/1/2010,6.0126E-08,0.13,0.010088631,0.644712182,0.169652552,0.722618236,0.01
8/2/2010,5.32487E-08,0.13,0.013004715,0.659705489,0.180781759,0.737432592,0.02
8/3/2010,5.32487E-08,0.13,0.012155562,0.646586345,0.181053203,0.744932747,0.02
8/4/2010,4.85392E-08,0.14,0.013593521,0.656760375,0.176981542,0.744436869,0.02
8/5/2010,6.45246E-08,0.15,0.012839759,0.646854083,0.178338762,0.74158557,0.02
8/6/2010,8.0144E-08,0.15,0.012510565,0.62248996,0.182410423,0.733465567,0.02
8/7/2010,4.80427E-08,0.15,0.012510565,0.62248996,0.182410423,0.733465567,0.02
8/8/2010,6.58507E-08,0.15,0.012510565,0.62248996,0.182410423,0.733465567,0.02
8/9/2010,1.44083E-07,0.15,0.013745555,0.621954485,0.17616721,0.738300378,0.02
8/10/2010,1.37704E-07,0.15,0.011700143,0.610977242,0.173995657,0.730676254,0.02
8/11/2010,1.03065E-07,0.15,0.006784556,0.585274431,0.166938111,0.716853654,0.01
8/12/2010,7.02141E-08,0.16,0.005467815,0.598661312,0.171281216,0.702721131,0.01
8/13/2010,9.85477E-08,0.16,0.004263659,0.586077644,0.172638436,0.700551664,0.01
8/14/2010,9.76372E-08,0.16,0.004263659,0.586077644,0.172638436,0.700551664,0.01
8/15/2010,3.08524E-07,0.16,0.004263659,0.586077644,0.172638436,0.700551664,0.01
8/16/2010,5.72288E-07,0.17,0.004865387,0.555823293,0.181324647,0.699621893,0.01
8/17/2010,7.04283E-08,0.18,0.006842652,0.574564926,0.185939197,0.702907085,0.01
8/18/2010,1.7234E-07,0.18,0.007291611,0.573493976,0.180510315,0.700737619,0.01
8/19/2010,2.00635E-07,0.18,0.004655957,0.556894244,0.178610206,0.694601128,0.01
8/20/2010,1.39301E-07,0.18,0.004714053,0.565729585,0.169381107,0.688588607,0.01
8/21/2010,1.77545E-07,0.18,0.004714053,0.565729585,0.169381107,0.688588607,0.01
8/22/2010,1.68812E-07,0.18,0.004714053,0.565729585,0.169381107,0.688588607,0.01
8/23/2010,1.54033E-07,0.18,0.003270352,0.564390897,0.169381107,0.686357156,0.01
8/24/2010,1.43663E-07,0.18,0.000697819,0.535475234,0.179967427,0.677245398,0.00
8/25/2010,1.71718E-07,0.19,0.001972976,0.545917001,0.197611292,0.682762041,0.00
8/26/2010,1.93452E-07,0.18,0.000334202,0.535475234,0.196525516,0.68796876,0.00
8/27/2010,1.4912E-07,0.19,0.002840041,0.57643909,0.19815418,0.699188,0.00
8/28/2010,1.53181E-07,0.19,0.002840041,0.57643909,0.19815418,0.699188,0.00
8/29/2010,5.84022E-08,0.19,0.002840041,0.57643909,0.19815418,0.699188,0.00
8/30/2010,1.45589E-07,0.19,0.000426004,0.547791165,0.19815418,0.696274716,0.00
8/31/2010,1.72212E-07,0.20,0,0.529585007,0.207926167,0.679042955,0.00
9/1/2010,9.39198E-08,0.20,0.004504641,0.557697456,0.206840391,0.691377921,0.01
9/2/2010,9.18256E-08,0.20,0.006166352,0.570013387,0.214440825,0.698258228,0.01
9/3/2010,5.66937E-08,0.20,0.008586133,0.590896921,0.22204126,0.695654869,0.02
9/4/2010,5.33762E-08,0.20,0.008586133,0.590896921,0.22204126,0.695654869,0.02
9/5/2010,5.92174E-08,0.20,0.008586133,0.590896921,0.22204126,0.695654869,0.02
9/6/2010,6.4997E-08,0.20,0.008586133,0.590896921,0.22204126,0.695654869,0.02
9/7/2010,5.84629E-08,0.21,0.006803204,0.564926372,0.220955483,0.692493647,0.01
9/8/2010,5.48269E-08,0.20,0.008236155,0.576974565,0.223669924,0.696088762,0.01
9/9/2010,6.10512E-08,0.20,0.008761839,0.60562249,0.219055375,0.693485403,0.02
9/10/2010,5.61542E-08,0.19,0.009212233,0.614725569,0.218783931,0.707122048,0.02
9/11/2010,1.03743E-07,0.19,0.009212233,0.614725569,0.218783931,0.707122048,0.02
9/12/2010,5.48977E-08,0.19,0.009212233,0.614725569,0.218783931,0.707122048,0.02
9/13/2010,6.98074E-08,0.19,0.012312621,0.600267738,0.227198697,0.71170892,0.02
9/14/2010,6.38977E-08,0.22,0.012603803,0.580187416,0.235070575,0.709291514,0.02
9/15/2010,3.51784E-07,0.22,0.013432154,0.595448461,0.238870793,0.704456704,0.02
9/16/2010,5.10882E-07,0.22,0.013570566,0.605087015,0.244571118,0.695468915,0.02
9/17/2010,4.05748E-08,0.22,0.014457014,0.601606426,0.245656895,0.689828302,0.02
9/18/2010,6.39156E-08,0.22,0.014457014,0.601606426,0.245656895,0.689828302,0.02
9/19/2010,5.49055E-08,0.22,0.014457014,0.601606426,0.245656895,0.689828302,0.02
