Date,Bitcoin,Gold,NASDAQ
1/1/2017,998.33,1160.4,5429.08
1/2/2017,1021.75,1160.4,5429.08
1/3/2017,1043.84,1160.4,5429.08
1/4/2017,1154.73,1163.8,5477
1/5/2017,1013.38,1179.7,5487.94
1/6/2017,902.2,1171.9,5521.06
1/7/2017,908.59,1171.9,5521.06
1/8/2017,911.2,1171.9,5521.06
1/9/2017,902.83,1183.5,5531.82
1/10/2017,907.68,1184.2,5551.82
1/11/2017,777.76,1195.6,5563.65
1/12/2017,804.83,1198.9,5547.49
1/13/2017,823.98,1195.3,5574.12
1/14/2017,818.41,1195.3,5574.12
1/15/2017,821.8,1195.3,5574.12
1/16/2017,831.53,1195.3,5574.12
1/17/2017,907.94,1212,5538.73
1/18/2017,886.62,1211.3,5555.65
1/19/2017,899.07,1200.9,5540.08
1/20/2017,895.03,1204.3,5555.33
1/21/2017,921.79,1204.3,5555.33
1/22/2017,924.67,1204.3,5555.33
1/23/2017,921.01,1215,5552.94
1/24/2017,892.69,1210.3,5600.96
1/25/2017,901.54,1197.3,5656.34
1/26/2017,917.59,1189.5,5655.18
1/27/2017,919.75,1188.1,5660.78
1/28/2017,921.59,1188.1,5660.78
1/29/2017,919.5,1188.1,5660.78
1/30/2017,920.38,1193.2,5613.71
1/31/2017,970.4,1208.6,5614.79
2/1/2017,989.02,1205.6,5642.65
2/2/2017,1011.8,1216.7,5636.2
2/3/2017,1029.91,1218.5,5666.77
2/4/2017,1042.9,1218.5,5666.77
2/5/2017,1027.34,1218.5,5666.77
2/6/2017,1038.15,1230,5663.55
2/7/2017,1061.35,1234.2,5674.22
2/8/2017,1063.07,1237.6,5682.45
2/9/2017,994.38,1235.1,5715.18
2/10/2017,988.67,1234.4,5734.13
2/11/2017,1004.45,1234.4,5734.13
2/12/2017,999.18,1234.4,5734.13
2/13/2017,990.64,1224.4,5763.96
2/14/2017,1004.55,1223.9,5782.57
2/15/2017,1007.48,1231.7,5819.44
2/16/2017,1027.44,1240,5814.9
2/17/2017,1046.21,1237.6,5838.58
2/18/2017,1054.42,1237.6,5838.58
2/19/2017,1047.87,1237.6,5838.58
2/20/2017,1079.98,1237.6,5838.58
2/21/2017,1115.3,1237.5,5865.95
2/22/2017,1117.44,1232,5860.63
2/23/2017,1166.72,1250.2,5835.51
2/24/2017,1173.68,1256.9,5845.31
2/25/2017,1143.84,1256.9,5845.31
2/26/2017,1165.2,1256.9,5845.31
2/27/2017,1179.97,1257.4,5861.9
2/28/2017,1179.97,1252.6,5825.44
3/1/2017,1222.5,1248.9,5904.03
3/2/2017,1251.01,1231.9,5861.22
3/3/2017,1274.99,1225.5,5870.75
3/4/2017,1255.15,1225.5,5870.75
3/5/2017,1267.12,1225.5,5870.75
3/6/2017,1272.83,1224.5,5849.18
3/7/2017,1223.54,1215.1,5833.93
